OBJECTID,GEOID_20,GROSS_ACRES,ACRES_LAND,ACRES_WATER,TRBL_STR,NAME,TRACT_NUMB,TRACT_LABEL,WATER,VILLNUMB,VILLNAME,CRA_NO,CRA_GRP,GEN_ALIAS,DETL_NAMES,COUNCIL_DIST_13,COUNCIL_DIST_24,Shape__Area,Shape__Length
1,530330107022003,4.89556842489142,4.89565181,0,10702.2003,Block 2003,10702,107.02,0,0,Outside Villages,2.2,2,High Point,"High Point, Delridge",1,1,213251.813537598,1944.56790686029
2,530330107023007,4.93741919605861,4.93765972,0,10702.3007,Block 3007,10702,107.02,0,0,Outside Villages,2.2,2,High Point,"High Point, Delridge",1,1,215074.840499878,1970.14475037285
3,530330107022005,0.422009428187464,0.42205599,0,10702.2005,Block 2005,10702,107.02,0,0,Outside Villages,2.2,2,High Point,"High Point, Delridge",1,1,18382.8041992188,730.970465750089
4,530330107022004,10.5669629204717,10.56721451,0,10702.2004,Block 2004,10702,107.02,0,0,Outside Villages,2.2,2,High Point,"High Point, Delridge",1,1,460298.746047974,2798.10472848936
5,530330107023000,0.949032935106197,0.94913177,0,10702.3000,Block 3000,10702,107.02,0,0,Outside Villages,2.2,2,High Point,"High Point, Delridge",1,1,41340.0400238037,1439.27959838668
6,530330005001009,88.7593512894866,88.76643049,0,500.1009,Block 1009,500,5,0,0,Outside Villages,9.1,9,Broadview/Bitter Lake,"Broadview, Bitter Lake",5,5,3866372.80789185,13429.345467395
7,530330107022000,1.223967745657,1.22391295,0,10702.2000,Block 2000,10702,107.02,0,0,Outside Villages,2.2,2,High Point,"High Point, Delridge",1,1,53316.2482452393,945.11827632796
8,530330067032005,4.16455693877718,4.16471409,0,6703.2005,Block 2005,6703,67.03,0,0,Outside Villages,12.3,12,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",7,7,181408.825866699,1797.86107950671
9,530330074041003,1.0916671911396,1.09171157,0,7404.1003,Block 1003,7404,74.04,0,414.1,Capitol Hill,6.2,6,Capitol Hill,"Capitol Hill, Pike/Pine, Broadway, First Hill",3,3,47553.2130737305,919.153188030376
10,530330042021016,1.42062510942809,1.42060884,0,4202.1016,Block 1016,4202,42.02,0,0,Outside Villages,7.3,7,Ravenna/Bryant,"Ravenna, Bryant, Roosevelt, View Ridge, Hawthorne Hills, Windermere, University District",4,4,61882.6773071289,1219.04939878555
