MHA_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBJECTID,ZONEID,ZONING,CONTRACT,ORDINANCE,EFFECTIVE,HISTORIC,PEDESTRIAN,SHORELINE,OVERLAY,LIGHTRAIL,MHA,IZ,MHA_VALUE,SE_ANNO_CAD_DATA,MIO_NAME,Tract,Neighborhood,ZIP,CLASS_DESC,CATEGORY_DESC,ZONELUT,ZONELUT_DESC,DETAIL_DESC,ZONING_DESC,BASE_ZONE,ZONING_PREV,CONTRACT_PREV,ORDINANCE_PREV,EFFECTIVE_PREV,HISTORIC_PREV,PEDESTRIAN_PREV,SHORELINE_PREV,OVERLAY_PREV,LIGHTRAIL_PREV,BZONEID,PUBLIC_DESCRIPTION,CHAPTER,CHAPTER_LINK,SHAPE_Length,SHAPE_Area
2162,3671,DMC-145, ,125291,2017/05/14 00:00:00+00, , , ,DF, ,Y,Y,None,,,,Pike-Market,98101,Downtown,Downtown,DMC,Downtown Mixed Commercial,Downtown Mixed,Downtown Mixed Commercial-145,DMC-145,DMC-125, ,,, , , ,DF, ,0,is in a zone Downtown where both commercial and residential development is generally allowed.,Chapter 23.49,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.49DOZO,0.00921874,2.1942028190457E-06
2163,3672,DMC-170, ,125291,2017/05/14 00:00:00+00, , , ,DF, ,Y,Y,None,,,,Central Business District,98101,Downtown,Downtown,DMC,Downtown Mixed Commercial,Downtown Mixed,Downtown Mixed Commercial-170,DMC-170,DMC-160, ,,, , , ,DF, ,0,is in a zone Downtown where both commercial and residential development is generally allowed.,Chapter 23.49,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.49DOZO,0.015883579,6.00052148877407E-06
2165,3674,DMC-170,CF291852,125291,2017/05/14 00:00:00+00, , , ,DF, ,Y,Y,None,,,,Central Business District,98101,Downtown,Downtown,DMC,Downtown Mixed Commercial,Downtown Mixed,Downtown Mixed Commercial-170,DMC-170,DMC-160,CF291852,111623,1984/04/19 00:00:00+00, , , ,DF, ,0,is in a zone Downtown where both commercial and residential development is generally allowed.,Chapter 23.49,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.49DOZO,0.004074765,8.04243828808304E-07
1768,3685,DRC 85-170, ,125291,2017/05/14 00:00:00+00, , , ,DF, ,Y,Y,None,,,,Central Business District,98101,Downtown,Downtown,DRC,Downtown Retail Core,Downtown Retail Core,Downtown Retail Core 85-170,DRC 85-170,DRC 85-150, ,,, , , ,DF, ,0,is in a zone Downtown where both commercial and residential development is generally allowed.,Chapter 23.49,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.49DOZO,0.018744735,1.25633825025921E-05
1770,3687,DMC 240/290-440, ,125291,2017/05/14 00:00:00+00, , , ,DF, ,Y,Y,None,,,,Denny Triangle,98101,Downtown,Downtown,DMC,Downtown Mixed Commercial,Downtown Mixed,Downtown Mixed Commercial 240/290-440,DMC 240/290-440,DMC 240/290-400, ,122054,2006/05/12 00:00:00+00, , , ,DF, ,1499,is in a zone Downtown where both commercial and residential development is generally allowed.,Chapter 23.49,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.49DOZO,0.017162476,5.85793115415209E-06
1532,3688,DMC 240/290-440, ,125291,2017/05/14 00:00:00+00, , , , , ,Y,Y,None,,,,Denny Triangle,98101,Downtown,Downtown,DMC,Downtown Mixed Commercial,Downtown Mixed,Downtown Mixed Commercial 240/290-440,DMC 240/290-440,DMC 240/290-400, ,122054,2006/05/12 00:00:00+00, , , , , ,1500,is in a zone Downtown where both commercial and residential development is generally allowed.,Chapter 23.49,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.49DOZO,0.007272052,1.96444161275896E-06
1771,3689,DMC 240/290-440, ,125291,2017/05/14 00:00:00+00, , , ,DF, ,Y,Y,None,,,,Denny Triangle,98101,Downtown,Downtown,DMC,Downtown Mixed Commercial,Downtown Mixed,Downtown Mixed Commercial 240/290-440,DMC 240/290-440,DMC 240/290-400, ,122054,2006/05/12 00:00:00+00, , , ,DF, ,1501,is in a zone Downtown where both commercial and residential development is generally allowed.,Chapter 23.49,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.49DOZO,0.049586438,2.15936417535725E-05
1773,3691,DMC 240/290-440, ,125291,2017/05/14 00:00:00+00, , , ,DF, ,Y,Y,None,,,,Denny Triangle,98101,Downtown,Downtown,DMC,Downtown Mixed Commercial,Downtown Mixed,Downtown Mixed Commercial 240/290-440,DMC 240/290-440,DMC 240/290-400, ,122054,2006/05/12 00:00:00+00, , , ,DF, ,1503,is in a zone Downtown where both commercial and residential development is generally allowed.,Chapter 23.49,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.49DOZO,0.009297358,3.02404948175745E-06
3425,3693,DMC 340/290-440, ,125291,2017/05/14 00:00:00+00, , , ,DF, ,Y,Y,None,,,,Denny Triangle,98101,Downtown,Downtown,DMC,Downtown Mixed Commercial,Downtown Mixed,Downtown Mixed Commercial 340/290-440,DMC 340/290-440,DMC 340/290-400, ,122054,2006/05/12 00:00:00+00, , , ,DF, ,1505,is in a zone Downtown where both commercial and residential development is generally allowed.,Chapter 23.49,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.49DOZO,0.010401826,3.83025570909008E-06
3413,3694,DMC 340/290-440, ,125291,2017/05/14 00:00:00+00, , , ,DF, ,Y,Y,None,,,,Denny Triangle,98101,Downtown,Downtown,DMC,Downtown Mixed Commercial,Downtown Mixed,Downtown Mixed Commercial 340/290-440,DMC 340/290-440,DMC 340/290-400, ,122054,2006/05/12 00:00:00+00, , , ,DF, ,1506,is in a zone Downtown where both commercial and residential development is generally allowed.,Chapter 23.49,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.49DOZO,0.007997613,3.66561825243803E-06
